ts,md_threshold,backbone,finetune_layers,f1,acc,prec,rec,empty_tnr,empty_tpr,empty_fnr,empty_fpr
202302080742,0.25,xception,33,0.868749463633973,0.90729001584786,0.865731100132361,0.87448792346185,0.860902255639098,0.983935742971888,0.016064257028112,0.139097744360902
202302080742,0.25,xception,66,0.863276241047747,0.905705229793978,0.861724680025388,0.871767890114171,0.853383458646617,0.980923694779116,0.019076305220884,0.146616541353383
202302080742,0.25,xception,6,0.860951733343379,0.908082408874802,0.865882877356562,0.85964723690778,0.868421052631579,0.980923694779116,0.019076305220884,0.131578947368421
202302081432,0.25,inception_resnet_v2,0,0.858966026919076,0.906497622820919,0.853830594381512,0.868409917347864,0.87218045112782,0.978915662650602,0.021084337349398,0.12781954887218
202302081432,0.25,densenet121,107,0.85695196610088,0.898573692551506,0.863145293811825,0.855290253452762,0.87593984962406,0.979919678714859,0.020080321285141,0.12406015037594
202302081432,0.25,inception_resnet_v2,195,0.856701947460444,0.90095087163233,0.852224369899813,0.864014869386167,0.87593984962406,0.982931726907631,0.01706827309237,0.12406015037594
202302081432,0.25,inception_resnet_v2,39,0.853122388355576,0.905705229793978,0.854951194149301,0.852362963960782,0.898496240601504,0.982931726907631,0.01706827309237,0.101503759398496
202302081432,0.25,inception_resnet_v2,390,0.852870064390313,0.897781299524564,0.845691361897134,0.862787464901532,0.868421052631579,0.982931726907631,0.01706827309237,0.131578947368421
202301310839,0.1,xception,6,0.841712766120857,0.885760257441673,0.850095986268058,0.837118061846858,0.785407725321888,0.981188118811881,0.018811881188119,0.214592274678112
202301301609,0.1,inception_resnet_v2,0,0.833973552227972,0.871279163314562,0.842444648363807,0.828600345745936,0.785407725321888,0.979207920792079,0.020792079207921,0.214592274678112
202302080742,0.25,xception,0,0.833033627767798,0.90729001584786,0.808104078132082,0.870685344688657,0.860902255639098,0.981927710843374,0.018072289156627,0.139097744360902
202301310839,0.5,xception,6,0.832717649120196,0.889782783588093,0.84358141801877,0.825156334734765,0.896995708154507,0.967326732673267,0.032673267326733,0.103004291845494
202301201720,0.1,xception,0,0.830894431312295,0.890587288817377,0.829877185683034,0.844386123092573,0.793991416309013,0.983168316831683,0.016831683168317,0.206008583690987
202302081432,0.25,densenet121,214,0.829110561593997,0.890649762282092,0.826479575816192,0.839627427469708,0.860902255639098,0.977911646586345,0.022088353413655,0.139097744360902
202302081432,0.25,densenet121,21,0.82626977817644,0.880348652931854,0.829580408146513,0.828395785708676,0.849624060150376,0.978915662650602,0.021084337349398,0.150375939849624
202302081432,0.25,densenet121,0,0.809818351390308,0.877179080824089,0.819984620121896,0.807309030388988,0.857142857142857,0.975903614457831,0.024096385542169,0.142857142857143
202301201720,0.5,xception,0,0.807675547339636,0.888173773129525,0.815999834462649,0.816426830162103,0.905579399141631,0.965346534653465,0.034653465346535,0.094420600858369
202302041512,0.5,inception_resnet_v2,39,0.807411362134246,0.887369267900241,0.820702355752288,0.813278823156765,0.914163090128755,0.962376237623762,0.037623762376238,0.085836909871245
202301201720,0.5,xception,33,0.805796830758829,0.889782783588093,0.831131717565067,0.802799785355452,0.888412017167382,0.97029702970297,0.02970297029703,0.111587982832618
202301201720,0.1,densenet121,0,0.802881888657154,0.865647626709574,0.82076635222625,0.790082399838871,0.738197424892704,0.982178217821782,0.017821782178218,0.261802575107296
202301301609,0.5,inception_resnet_v2,195,0.801952509483893,0.881737731295253,0.819830450875656,0.80276087549666,0.901287553648069,0.964356435643564,0.035643564356436,0.098712446351931
202302041512,0.1,inception_resnet_v2,39,0.799185252812244,0.872888173773129,0.8093430094494,0.809239138162983,0.798283261802575,0.974257425742574,0.025742574257426,0.201716738197425
202301201720,0.5,densenet121,0,0.797819412825651,0.86886564762671,0.830344414975005,0.772650760519052,0.875536480686695,0.966336633663366,0.033663366336634,0.124463519313305
202302041512,0.9,inception_resnet_v2,39,0.796516480754323,0.886564762670957,0.820590348507611,0.793558242703017,0.931330472103004,0.941584158415841,0.058415841584159,0.068669527896996
202301301609,0.5,inception_resnet_v2,0,0.795657419605215,0.880128720836686,0.801415077380982,0.806154463651536,0.896995708154507,0.961386138613861,0.038613861386139,0.103004291845494
202301201720,0.9,xception,33,0.793982031932908,0.884955752212389,0.811102822665062,0.797606296373867,0.939914163090129,0.943564356435644,0.056435643564356,0.060085836909871
202301201720,0.5,xception,66,0.793062436551862,0.891391794046661,0.853338890766777,0.758018985193749,0.892703862660944,0.967326732673267,0.032673267326733,0.107296137339056
202301301609,0.9,inception_resnet_v2,390,0.791668796179495,0.884151246983105,0.812524923620514,0.79100932145281,0.944206008583691,0.947524752475248,0.052475247524753,0.055793991416309
202301201720,0.9,xception,0,0.786682088727955,0.893805309734513,0.806391805671217,0.802201578641239,0.944206008583691,0.95049504950495,0.04950495049505,0.055793991416309
202301301609,0.5,inception_resnet_v2,390,0.785722076976133,0.879324215607401,0.792880972489512,0.804447465729802,0.879828326180257,0.966336633663366,0.033663366336634,0.120171673819742
202301201720,0.9,xception,66,0.783646528924564,0.884955752212389,0.799800757549394,0.798342353149917,0.931330472103004,0.945544554455446,0.054455445544554,0.068669527896996
202301301609,0.1,inception_resnet_v2,390,0.780652017524935,0.867256637168142,0.782367944424068,0.791777859580848,0.772532188841202,0.983168316831683,0.016831683168317,0.227467811158798
202301201720,0.1,xception,33,0.778534968519442,0.871279163314562,0.779118557007709,0.803917633869094,0.746781115879828,0.983168316831683,0.016831683168317,0.253218884120172
202301310839,0.9,xception,6,0.774427455490053,0.884151246983105,0.788163897552305,0.792846178716174,0.927038626609442,0.94950495049505,0.050495049504951,0.072961373390558
202301201720,0.9,densenet121,0,0.770298838198303,0.86082059533387,0.801660175356597,0.752578659225732,0.914163090128755,0.944554455445544,0.055445544554455,0.085836909871245
202301301609,0.9,inception_resnet_v2,195,0.768114585789097,0.86886564762671,0.778832053521601,0.773332620774885,0.918454935622318,0.945544554455446,0.054455445544554,0.081545064377682
202301270830,0.5,densenet121,214,0.766012733969315,0.870474658085278,0.767292776624143,0.780152263179803,0.901287553648069,0.966336633663366,0.033663366336634,0.098712446351931
202301270830,0.1,densenet121,214,0.765657932266183,0.85679806918745,0.770074658568637,0.781240253475746,0.781115879828326,0.978217821782178,0.021782178217822,0.218884120171674
202301301609,0.9,inception_resnet_v2,0,0.763554343312249,0.875301689460981,0.779000394639123,0.783850288986634,0.931330472103004,0.943564356435644,0.056435643564356,0.068669527896996
202301310839,0.5,densenet121,21,0.758978240483328,0.864038616251005,0.778060878106419,0.761499936762062,0.858369098712446,0.968316831683168,0.031683168316832,0.141630901287554
202301301609,0.1,inception_resnet_v2,195,0.755766911766734,0.85277554304103,0.751255882610027,0.787567592961775,0.708154506437768,0.984158415841584,0.015841584158416,0.291845493562232
202302041357,0.9,densenet121,214,0.755546102078187,0.864038616251005,0.76708878629792,0.761656205934209,0.918454935622318,0.943564356435644,0.056435643564357,0.081545064377682
202301201720,0.9,densenet121,107,0.75423964515461,0.860016090104586,0.762039152162676,0.766307043526149,0.909871244635193,0.942574257425742,0.057425742574258,0.090128755364807
202301310839,0.9,densenet121,21,0.753723114714762,0.871279163314562,0.764301130039082,0.775442818113509,0.92274678111588,0.945544554455446,0.054455445544554,0.07725321888412
202301310839,0.1,densenet121,21,0.751109021433349,0.838294448913918,0.771668516980512,0.748543683862006,0.682403433476395,0.986138613861386,0.013861386138614,0.317596566523605
202301201720,0.5,densenet121,107,0.737851023549927,0.839098954143202,0.784482540110042,0.706328096111729,0.832618025751073,0.97029702970297,0.02970297029703,0.167381974248927
202301201720,0.1,xception,66,0.73434479036792,0.855993563958166,0.72433086304248,0.781794061197983,0.721030042918455,0.989108910891089,0.010891089108911,0.278969957081545
202301201720,0.1,densenet121,107,0.680238939339129,0.817377312952534,0.713990171251858,0.657665134950127,0.63519313304721,0.985148514851485,0.014851485148515,0.36480686695279
